,date,variant,num_sequences,perc_sequences,num_sequences_total
128,2021-08-23,Alpha,2,0.32,619
129,2021-08-23,Beta,0,0.0,619
130,2021-08-23,Delta,617,99.68,619
131,2021-08-23,Omicron,0,0.0,619
132,2021-09-06,Alpha,0,0.0,782
133,2021-09-06,Beta,0,0.0,782
134,2021-09-06,Delta,782,100.0,782
135,2021-09-06,Omicron,0,0.0,782
136,2021-09-20,Alpha,0,0.0,1205
137,2021-09-20,Beta,0,0.0,1205
138,2021-09-20,Delta,1205,100.0,1205
139,2021-09-20,Omicron,0,0.0,1205
140,2021-10-04,Alpha,0,0.0,845
141,2021-10-04,Beta,0,0.0,845
142,2021-10-04,Delta,845,100.0,845
143,2021-10-04,Omicron,0,0.0,845
144,2021-10-18,Alpha,0,0.0,1710
145,2021-10-18,Beta,0,0.0,1710
146,2021-10-18,Delta,1709,99.94,1710
147,2021-10-18,Omicron,0,0.0,1710
148,2021-11-01,Alpha,0,0.0,1733
149,2021-11-01,Beta,0,0.0,1733
150,2021-11-01,Delta,1733,100.0,1733
151,2021-11-01,Omicron,0,0.0,1733
152,2021-11-15,Alpha,0,0.0,2290
153,2021-11-15,Beta,0,0.0,2290
154,2021-11-15,Delta,2290,100.0,2290
155,2021-11-15,Omicron,0,0.0,2290
156,2021-11-29,Alpha,0,0.0,1254
157,2021-11-29,Beta,0,0.0,1254
158,2021-11-29,Delta,1254,100.0,1254
159,2021-11-29,Omicron,0,0.0,1254
160,2021-12-13,Alpha,0,0.0,1289
161,2021-12-13,Beta,0,0.0,1289
162,2021-12-13,Delta,1280,99.3,1289
163,2021-12-13,Omicron,9,0.7,1289
164,2021-12-27,Alpha,0,0.0,79
165,2021-12-27,Beta,0,0.0,79
166,2021-12-27,Delta,70,88.61,79
167,2021-12-27,Omicron,8,10.13,79
